,Db,dn_tube,n_ways,L,S_outlet,S_inlet,area
21,1000,25,4,6,0.13,0.0553,324.5
26,1200,25,2,4,0.165,0.1834,338.8
20,1000,25,2,6,0.13,0.1257,349.0
25,1200,25,1,4,0.1788,0.3899,349.8
19,1000,25,1,6,0.1414,0.2695,363.1
24,1200,20,4,4,0.176,0.0788,401.9
18,1000,20,4,6,0.1248,0.0512,410.0
23,1200,20,2,4,0.176,0.1658,421.5
22,1200,20,1,4,0.187,0.3442,432.3
17,1000,20,2,6,0.1248,0.1138,433.7
16,1000,20,1,6,0.156,0.2378,448.0
27,1200,25,4,6,0.165,0.0854,479.0
21,1000,25,4,9,0.13,0.0553,486.8
26,1200,25,2,6,0.165,0.1834,508.2
20,1000,25,2,9,0.13,0.1257,523.5
25,1200,25,1,6,0.1788,0.3899,524.7
19,1000,25,1,9,0.1414,0.2695,544.7
24,1200,20,4,6,0.176,0.0788,602.9
18,1000,20,4,9,0.1248,0.0512,615.0
23,1200,20,2,6,0.176,0.1658,632.3
22,1200,20,1,6,0.187,0.3442,648.5
17,1000,20,2,9,0.1248,0.1138,650.4
16,1000,20,1,9,0.156,0.2378,672.0
27,1200,25,4,9,0.165,0.0854,718.5
26,1200,25,2,9,0.165,0.1834,762.3
25,1200,25,1,9,0.1788,0.3899,787.0
24,1200,20,4,9,0.176,0.0788,904.3
23,1200,20,2,9,0.176,0.1658,948.4
22,1200,20,1,9,0.187,0.3442,972.7
